Reactant analysis summary
========================================================================
Source:    /root/workspace/nova-4090/data/rxn4.csv
Molecules: 2207
Detail:    /root/workspace/nova-4090/data/rxn4_reactant_analysis.csv

------------------------------------------------------------------------
Position 1  (793 unique reactants)
------------------------------------------------------------------------
   reactant_id   count       avg_score       max_score
        220843       4    0.0637738672    0.0869386249
        199269       3    0.1265327757    0.1577685833
        211600       3    0.1178586201    0.1357727572
        208171       3    0.1164872018    0.1355685890
        198906       3    0.1170106255    0.1318293923
        188518       3    0.1151566796    0.1318020789
        184305       3    0.1050070463    0.1300022548
        192548       3    0.1096851866    0.1298533380
        191769       3    0.1190405271    0.1277076524
        208518       3    0.1217413235    0.1273286111
        191678       3    0.0633820824    0.1261417733
        185772       3    0.1014131428    0.1256575271
        218112       3    0.1157835690    0.1254217100
        211982       3    0.1005662951    0.1248230727
        188455       3    0.1021003189    0.1234449947
        196019       3    0.0932873120    0.1231141253
        202895       3    0.1092448325    0.1225032508
        192048       3    0.1149092554    0.1222673758
        208455       3    0.0891645444    0.1220003755
        205353       3    0.1001906171    0.1205542652
        178767       3    0.1161440899    0.1201890757
        217218       3    0.1042673439    0.1201890757
        188171       3    0.0978488811    0.1194907143
        208049       3    0.1071853284    0.1178125441
        208301       3    0.1081231843    0.1176153557
        199071       3    0.1105645947    0.1173502518
        220335       3    0.0965291270    0.1169821336
        196500       3    0.1043392176    0.1165061729
        210022       3    0.1075267235    0.1148212422
        194933       3    0.0979919707    0.1143261757
        191986       3    0.1105691584    0.1140983974
        188159       3    0.1074210601    0.1139188269
        210396       3    0.1028383053    0.1139078066
        188385       3    0.0953466556    0.1128797889
        188609       3    0.1093042152    0.1122275790
        198625       3    0.1106025813    0.1121089919
        202872       3    0.1105772187    0.1120541705
        208307       3    0.0887196124    0.1118066138
        179392       3    0.0989857042    0.1110166042
        211590       3    0.1092868222    0.1108028193
        208303       3    0.1045996746    0.1091230482
        211503       3    0.0444932222    0.1087284892
        184295       3    0.0903283957    0.1084805846
        188494       3    0.0997248852    0.1081085602
        197380       3    0.0894841152    0.1079169105
        217515       3    0.0844841641    0.1077531174
        220574       3    0.0980374243    0.1059080249
        178664       3    0.0925424424    0.1051215918
        205118       3    0.0965386692    0.1035773806
        218164       3    0.0797400281    0.1033945169
        210305       3    0.0865700087    0.1000042856
        191341       3    0.0833433695    0.0986491612
        188596       3    0.0532142010    0.0940509205
        214547       3    0.0605821001    0.0888142337
        215473       3    0.0652914265    0.0880956339
        196882       3    0.0655311139    0.0835317646
        210458       3    0.0448191689    0.0608467667
        208362       3    0.0456437603    0.0540648025
        211944       2    0.0907614941    0.1386237274
        218056       2    0.1186066850    0.1321229696
        195780       2    0.1158609828    0.1312038432
        200114       2    0.1211941459    0.1293982999
        188230       2    0.0710355616    0.1272958785
        218102       2    0.1249499106    0.1268063568
        210096       2    0.1154258949    0.1260501038
        210207       2    0.1232039971    0.1248159196
        202845       2    0.1224765188    0.1247111559
        193062       2    0.1086125074    0.1246276027
        211490       2    0.1164993630    0.1240798208
        210142       2    0.1022268254    0.1229399641
        192950       2    0.1198663526    0.1227339407
        196329       2    0.1130448757    0.1227141463
        211438       2    0.1167809450    0.1217803028
        191894       2    0.1207138793    0.1214080453
        185819       2    0.0936283457    0.1210880627
        185963       2    0.1091001221    0.1199034476
        211849       2    0.1116678106    0.1196176385
        217492       2    0.1083141653    0.1196176385
        195158       2    0.1170397532    0.1191539006
        210030       2    0.1029715586    0.1189906597
        192201       2    0.1172193781    0.1188842686
        195516       2    0.1107051895    0.1186246980
        195392       2    0.1127599300    0.1185907492
        203643       2    0.1153921580    0.1185312140
        199032       2    0.1165310708    0.1183962132
        207304       2    0.1052355228    0.1183384251
        193270       2    0.1117770813    0.1183376765
        216391       2    0.0822043398    0.1182146984
        205163       2    0.1149340518    0.1179665128
        218069       2    0.1152252187    0.1174369204
        192314       2    0.1075418766    0.1172037891
        208447       2    0.1113129585    0.1171055181
        217509       2    0.1154356217    0.1159526641
        196161       2    0.1151522647    0.1159216425
        220296       2    0.1064339047    0.1156505372
        198962       2    0.1125085802    0.1152541429
        192162       2    0.1141714094    0.1152255014
        218085       2    0.1112327428    0.1146235497
        217241       2    0.1110521473    0.1142863915
