# Reactant analysis
# source: /root/workspace/nova-4090/data/rxn5.csv
# molecules_analyzed: 3454
# reactant_position: 1 = first reactant after rxn:N, 2 = second, 3 = third (if present)
# sorted within each position by count (desc), then max_score (desc)
reactant_position,reactant_id,count,avg_score,max_score
2,227713,6,0.1059070282,0.1176164609
2,223373,6,0.1081604354,0.1167042017
2,223365,6,0.1074688744,0.1147400757
2,225934,6,0.1094917719,0.1122307654
2,227058,6,0.1073855998,0.1113463759
2,227102,6,0.1070646191,0.1105206444
2,227108,6,0.1069766072,0.1098092301
2,229012,5,0.1039828673,0.1241585612
2,228384,5,0.1079066858,0.1218151803
2,227548,5,0.1104115032,0.1188843136
2,226183,5,0.1089008439,0.1179706704
2,227355,5,0.1078160776,0.1175099257
2,227028,5,0.1120422560,0.1174473854
2,223323,5,0.1114217325,0.1172933054
2,226434,5,0.1125039118,0.1169496466
2,226925,5,0.1072012920,0.1165190270
2,226136,5,0.1072987957,0.1156732882
2,225602,5,0.1096638492,0.1154230450
2,228069,5,0.1080653697,0.1148469173
2,228277,5,0.1075609448,0.1143901774
2,227055,5,0.1086108945,0.1140924853
2,226941,5,0.1086250733,0.1140008623
2,228666,5,0.1096914744,0.1136577397
2,222990,5,0.1101761108,0.1114066474
2,228044,5,0.0981812176,0.1107271153
2,227206,5,0.1063860098,0.1098307744
2,223314,5,0.1068898714,0.1097756291
2,227115,5,0.0961314675,0.1094441882
2,227074,5,0.1071209441,0.1091850626
2,229270,5,0.0973454993,0.1087172604
