molecule_name,score,max_hist_sim,hf_unique,brenk_ok,shelf_ok
rxn:1:55036:10477,0.11379334703087807,1.0,False,True,False
rxn:1:55197:10501,0.11378494175997647,1.0,False,True,False
rxn:1:55662:10477,0.11376373908099006,1.0,False,True,False
rxn:1:47106:31781,0.11368079582850138,1.0,False,False,False
rxn:1:52656:10477,0.11367644866307576,1.0,False,True,False
rxn:1:59225:22741,0.11362653225660324,1.0,False,False,False
rxn:1:43586:22741,0.11358925356314732,0.8,True,False,False
rxn:1:52403:10477,0.11357312372752598,0.9,True,True,False
rxn:1:62565:23538,0.11351490479249221,0.5538461538461539,True,False,False
rxn:1:49433:22854,0.11347947738788745,0.873015873015873,True,False,False
rxn:1:55725:10393,0.1134143489779848,1.0,False,True,False
rxn:1:41314:23568,0.11341021611140324,1.0,False,True,False
rxn:1:55300:10477,0.11338970877907494,1.0,False,True,False
rxn:1:62688:32407,0.11334332942962647,1.0,False,False,False
rxn:1:54173:23454,0.11334094229866476,0.7605633802816901,True,False,False
rxn:1:59225:12032,0.11332890533265613,1.0,False,True,False
rxn:1:55606:10477,0.11330031647401698,1.0,False,True,False
rxn:1:55769:19467,0.11327291688611431,0.7101449275362319,True,False,False
rxn:1:55512:10501,0.11326782811771739,1.0,False,True,False
rxn:1:55807:10501,0.11317362855462466,1.0,False,True,False
rxn:1:51898:10477,0.1131697928204256,0.8734177215189873,True,True,False
rxn:1:42445:22698,0.11307178603278266,0.78125,True,False,False
rxn:1:45983:10448,0.1130504108244373,1.0,False,True,False
rxn:1:45979:22738,0.11299687985217932,0.5783132530120482,True,False,False
rxn:1:45955:23566,0.11295518792908767,0.8507462686567164,True,False,False
rxn:1:52404:10501,0.11294452462877547,1.0,False,True,False
rxn:1:55340:10393,0.11291102506220341,1.0,False,True,False
rxn:1:55769:11890,0.11286567449569702,0.7377049180327869,True,False,False
rxn:1:47489:31781,0.11286300613034156,1.0,False,False,False
rxn:1:55278:10503,0.11282172974418192,0.8734177215189873,True,True,False
rxn:1:41735:10503,0.11281632293354381,0.868421052631579,True,True,False
rxn:1:62561:22713,0.11281287670135498,1.0,True,False,False
rxn:1:59225:28120,0.11280148137699474,1.0,False,True,False
rxn:1:57480:771,0.11276312172412872,0.7169811320754716,True,False,False
rxn:1:41844:3980,0.11268454951208991,0.8518518518518519,True,True,False
rxn:1:55330:10501,0.11264373678149599,1.0,False,True,False
rxn:1:45955:23485,0.11264356970787048,0.8507462686567164,True,False,False
rxn:1:62274:22713,0.11263634981932463,0.8360655737704918,True,False,False
rxn:1:42632:23567,0.11258080959320069,0.7931034482758621,True,False,False
rxn:1:55784:10477,0.11257200731950648,0.8974358974358975,True,True,False
rxn:1:55448:10477,0.11256775711521957,1.0,False,True,False
rxn:1:40047:10477,0.11256494373083115,1.0,False,True,False
rxn:1:44222:23567,0.11253997044903892,1.0,False,False,False
rxn:1:45352:10477,0.11249294973188831,0.782051282051282,True,True,False
rxn:1:58934:22740,0.11248245546894689,0.7575757575757576,True,False,False
rxn:1:58026:23485,0.1124768356482188,1.0,False,True,False
rxn:1:40448:1923,0.11242168224774875,0.6527777777777778,True,False,False
rxn:1:59225:31874,0.11241769790649414,1.0,False,True,False
rxn:1:55448:10393,0.11236515454947948,0.8648648648648649,True,True,False
rxn:1:59013:22718,0.11233453551928202,0.8032786885245902,True,False,False
rxn:1:59225:22851,0.11228096100591844,1.0,False,True,False
rxn:1:45713:3980,0.11225579513443841,0.8481012658227848,True,True,False
rxn:1:55652:10503,0.1122368540082659,0.8987341772151899,True,True,False
rxn:1:59279:11890,0.11221734285354615,0.6363636363636364,True,False,False
rxn:1:61660:22738,0.11217226300920759,0.5915492957746479,True,False,False
rxn:1:55263:10501,0.1121685595223398,1.0,False,True,False
rxn:1:59225:23620,0.11213357675643194,0.74,True,False,False
rxn:1:55103:10393,0.11212082447544221,1.0,False,True,False
rxn:1:51684:23454,0.1121072510878245,1.0,False,False,False
rxn:1:45579:10393,0.11210579797625542,1.0,False,True,False
rxn:1:41844:10503,0.11209748131888253,0.8734177215189873,True,True,False
rxn:1:65145:22794,0.11208624793932988,0.8333333333333334,True,False,False
rxn:1:61753:22794,0.11206583730105696,0.8484848484848485,True,False,False
rxn:1:55357:10477,0.11205849864266136,0.8311688311688312,True,True,False
rxn:1:49433:23193,0.1120512234537225,0.5882352941176471,True,False,False
rxn:1:43719:32468,0.11200234523186317,0.6142857142857143,True,False,False
rxn:1:42573:23538,0.11198604213339942,0.6027397260273972,True,False,False
rxn:1:55726:10477,0.11198448082979988,1.0,False,True,False
rxn:1:55784:10393,0.11194772431344698,1.0,False,True,False
rxn:1:55265:10477,0.1119181423476248,1.0,False,True,False
rxn:1:62388:22700,0.11190477242836586,0.8095238095238095,True,False,False
rxn:1:50325:8635,0.11187177896499634,0.7971014492753623,True,False,False
rxn:1:62565:23837,0.11185790300369262,1.0,True,False,False
rxn:1:44436:23568,0.11184978074040906,0.8235294117647058,True,False,False
rxn:1:55769:31487,0.11183858834780179,0.8412698412698413,True,False,False
rxn:1:64651:22698,0.11183588874751124,0.8305084745762712,True,False,False
rxn:1:44158:23485,0.11182805587505472,0.6438356164383562,True,False,False
rxn:1:55769:30489,0.11179845642160487,1.0,False,False,False
rxn:1:61753:22693,0.11178798807991876,0.8888888888888888,True,False,False
rxn:1:61784:12104,0.11175627568188835,0.7659574468085106,True,False,False
rxn:1:47489:23567,0.1117466668287913,0.8412698412698413,True,False,False
rxn:1:62064:22740,0.11169329484303793,0.8448275862068966,True,False,False
rxn:1:55137:10477,0.11168739385902882,0.8266666666666667,True,True,False
rxn:1:61754:22741,0.11167574922243755,0.8620689655172413,True,False,False
rxn:1:52417:10477,0.11166821377617972,1.0,False,True,False
rxn:1:55670:10503,0.11166660785675049,1.0,False,True,False
rxn:1:62561:22720,0.11159896850585938,0.8307692307692308,True,False,False
rxn:1:45948:120,0.11159065269654797,0.8235294117647058,True,False,False
rxn:1:52404:10393,0.11157125059296102,1.0,False,True,False
rxn:1:55834:10477,0.1115704967695124,0.8717948717948718,True,True,False
rxn:1:55680:10477,0.11156469583511353,1.0,False,True,False
rxn:1:49433:22738,0.11156433476851536,0.7457627118644068,True,False,False
rxn:1:50325:3136,0.11147861395563398,1.0,False,False,False
rxn:1:59278:22758,0.11146496843408656,0.746031746031746,True,False,False
rxn:1:57786:10503,0.11145545103970696,1.0,False,True,False
rxn:1:55177:10393,0.11144443228840828,0.8356164383561644,True,True,False
rxn:1:59225:31623,0.11143941723782083,1.0,False,True,False
rxn:1:55568:10393,0.1114370407480182,0.8285714285714286,True,True,False
rxn:1:47485:23564,0.11133860514081757,0.7727272727272727,True,False,False
rxn:1:55502:10503,0.11130114162669462,1.0,False,True,False
rxn:1:57306:10501,0.11129572987556458,0.8157894736842105,True,True,False
rxn:1:52504:11933,0.1112545316035931,0.7538461538461538,True,False,False
rxn:1:44436:23565,0.11122594475746155,0.726027397260274,True,False,False
rxn:1:57786:10477,0.1112201249960697,0.8533333333333334,True,True,False
rxn:1:56284:10393,0.11119591839173261,1.0,False,True,False
rxn:1:55214:10477,0.11119093678214333,0.8571428571428571,True,True,False
rxn:1:59251:39924,0.11117830643287072,0.8301886792452831,True,False,False
rxn:1:55319:10477,0.11115165912743771,0.8461538461538461,True,True,False
rxn:1:59255:102,0.11113478881972176,1.0,False,False,False
rxn:1:59370:23568,0.11113102833429972,0.8260869565217391,True,False,False
rxn:1:55308:3980,0.11112635334332784,0.8481012658227848,True,True,False
rxn:1:46034:102,0.11110645532608032,0.7727272727272727,True,False,False
rxn:1:45583:23485,0.11110638750010524,1.0,False,True,False
rxn:1:55747:10503,0.11108726263046265,1.0,False,True,False
rxn:1:52409:103,0.11108381583772857,1.0,False,False,False
rxn:1:56412:10393,0.11108051538467408,1.0,False,True,False
rxn:1:55402:10393,0.11106160096824169,0.8378378378378378,True,True,False
rxn:1:58934:22738,0.11103428204854329,0.8095238095238095,True,False,False
rxn:1:59013:22859,0.11102635065714518,0.8709677419354839,True,False,False
rxn:1:52255:10477,0.11098770073481969,1.0,False,True,False
rxn:1:52260:10501,0.11097109998975481,0.8734177215189873,True,True,False
rxn:1:59021:22740,0.1109477743025749,0.8571428571428571,True,False,False
rxn:1:59225:31580,0.11094339535786556,1.0,False,True,False
rxn:1:59368:23565,0.11091006571246732,0.7777777777777778,True,False,False
rxn:1:55769:34475,0.11083382138839135,1.0,False,False,False
rxn:1:55360:10503,0.11081638406304752,1.0,False,True,False
rxn:1:61784:39255,0.11074485276874743,0.6481481481481481,True,False,False
rxn:1:55348:10393,0.11074439808726311,1.0,False,True,False
rxn:1:55204:10477,0.11073598355957956,0.88,True,True,False
rxn:1:59368:22662,0.11072651183966434,0.7307692307692307,True,False,False
rxn:1:59255:23454,0.11067828439897107,0.5675675675675675,True,False,False
rxn:1:45601:10501,0.11067533493041992,0.8289473684210527,True,True,False
rxn:1:52656:10503,0.1106730361242552,0.8809523809523809,True,True,False
rxn:1:57797:25271,0.11066173273941567,0.8,True,False,False
rxn:1:49437:22862,0.11065362548005991,0.8360655737704918,True,False,False
rxn:1:45608:10477,0.11063681588028416,1.0,False,True,False
rxn:1:40965:10393,0.11063062060963023,1.0,False,True,False
rxn:1:55575:10393,0.11063018170270053,0.8493150684931506,True,True,False
rxn:1:59225:37862,0.11062438379634511,1.0,True,True,False
rxn:1:62064:22738,0.11061936308597696,0.8166666666666667,True,False,False
rxn:1:49433:22794,0.11061103003365653,0.8225806451612904,True,False,False
rxn:1:55297:10393,0.1106005534529686,1.0,False,True,False
rxn:1:59225:39276,0.11059681935743852,1.0,False,True,False
rxn:1:47485:23567,0.11059081753094992,0.7230769230769231,True,False,False
